label_id,label,date,ticker,source,title,text,url,notes,model_prediction,model_sentiment_score,model_prob_negative,model_prob_neutral,model_prob_positive
N000001,,2026-06-01,AHGAZ,KAP,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş. - Payların Geri Alınmasına İlişkin Bildirim. Payların Geri Alınmasına İlişkin Bildirim 01.06.2026 Tarihli Pay Geri Alım İşlemleri,https://www.kap.org.tr/tr/Bildirim/1611665,,positive,0.1195942601844968,0.2811478618237918,0.3181100161679194,0.4007421220082886
N000002,,2026-06-01,AKBNK,KAP,AKBANK T.A.Ş. - Pay Dışında Sermaye Piyasası Aracı İşlemlerine İlişkin Bildirim (Faiz İçeren),AKBANK T.A.Ş. - Pay Dışında Sermaye Piyasası Aracı İşlemlerine İlişkin Bildirim (Faiz İçeren). Pay Dışında Sermaye Piyasası Aracı İşlemlerine İlişkin Bildirim (Faiz İçeren) Yurtdışı Piyasalara Tahvil İhracı,https://www.kap.org.tr/tr/Bildirim/1611586,,neutral,0.0392330709607953,0.306218514176777,0.3483299006856505,0.3454515851375724
N000003,,2026-06-01,AKBNK,KAP,AKBANK T.A.Ş. - Özel Durum Açıklaması (Genel),AKBANK T.A.Ş. - Özel Durum Açıklaması (Genel). Özel Durum Açıklaması (Genel) Yurtdışı Piyasalara Sermaye Benzeri (Basel III uyumlu) Tahvil İhracı,https://www.kap.org.tr/tr/Bildirim/1611351,,neutral,0.0351483778242879,0.2885431216659895,0.3877653788437328,0.3236914994902775
N000004,,2026-06-01,AKFGY,KAP,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş. - Bağımsız Denetim Kuruluşunun Belirlenmesi,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş. - Bağımsız Denetim Kuruluşunun Belirlenmesi. Bağımsız Denetim Kuruluşunun Belirlenmesi Bağımsız denetim kuruluşu seçiminin tescili ve TTSG'de ilanı,https://www.kap.org.tr/tr/Bildirim/1611457,,neutral,0.0392330709607953,0.306218514176777,0.3483299006856505,0.3454515851375724
N000005,,2026-06-01,AKFGY,KAP,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş. - Esas Sözleşme,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş. - Esas Sözleşme. Esas Sözleşme Esas Sözleşme,https://www.kap.org.tr/tr/Bildirim/1611465,,neutral,0.0392330709607953,0.306218514176777,0.3483299006856505,0.3454515851375724
N000006,,2026-06-01,AKFGY,KAP,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş. - Genel Kurul İşlemlerine İlişkin Bildirim,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş. - Genel Kurul İşlemlerine İlişkin Bildirim. Genel Kurul İşlemlerine İlişkin Bildirim 2025 Yılı Olağan Genel Kurul Toplantısı Tescil İşlemi,https://www.kap.org.tr/tr/Bildirim/1611460,,neutral,-0.0315216627972758,0.3368291540929534,0.3578633546113689,0.3053074912956776
N000007,,2026-06-01,AKFGY,KAP,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş. - Yönetim Kurulu Komiteleri,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş. - Yönetim Kurulu Komiteleri. Yönetim Kurulu Komiteleri Yönetim Kurulu Komitelerinin Üyelerinin Belirlenmesi hk,https://www.kap.org.tr/tr/Bildirim/1611462,,neutral,0.0757413717549689,0.2821095369281806,0.3600395543886698,0.3578509086831495
N000008,,2026-06-01,AKFGY,KAP,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş. - İlişkili Taraf İşlemleri,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş. - İlişkili Taraf İşlemleri. İlişkili Taraf İşlemleri Yaygın ve Süreklilik Arz Eden İşlemler Raporu Hk.,https://www.kap.org.tr/tr/Bildirim/1611641,,neutral,0.0392330709607953,0.306218514176777,0.3483299006856505,0.3454515851375724
N000009,,2026-06-01,AKM,KAP,AK YATIRIM MENKUL DEĞERLER A.Ş. - Likidite Sağlayıcılık Kapsamındaki İşlemler,AK YATIRIM MENKUL DEĞERLER A.Ş. - Likidite Sağlayıcılık Kapsamındaki İşlemler. Likidite Sağlayıcılık Kapsamındaki İşlemler LOGO Paylarında Likidite Sağlayıcılığı Kapsamında Gerçekleştirilen İşlemler 18.05.2026 - 29.05.2026 LOGO,https://www.kap.org.tr/tr/Bildirim/1611379,,neutral,0.0392330709607953,0.306218514176777,0.3483299006856505,0.3454515851375724
N000010,,2026-06-01,AKM,KAP,AK YATIRIM MENKUL DEĞERLER A.Ş. - Likidite Sağlayıcılık Kapsamındaki İşlemler,AK YATIRIM MENKUL DEĞERLER A.Ş. - Likidite Sağlayıcılık Kapsamındaki İşlemler. Likidite Sağlayıcılık Kapsamındaki İşlemler ORGE Paylarında Likidite Sağlayıcılığı Kapsamında Gerçekleştirilen İşlemler 18.05.2026 - 29.05.2026 ORGE,https://www.kap.org.tr/tr/Bildirim/1611377,,neutral,0.0392330709607953,0.306218514176777,0.3483299006856505,0.3454515851375724
